combination,feedback_text
ㅣ_ㅔ,"'ㅔ'를 발음하려면 입을 조금만 벌리고, 혀를 약간 낮춰 보세요!"
ㅣ_ㅐ,"'ㅣ'는 입을 옆으로 크게 벌려요. 'ㅐ'는 입을 조금만 벌리고 혀를 낮춰 발음해 보세요!"
ㅣ_ㅏ,"입을 더 크게 벌리고 혀를 낮춰서 다시 발음해 보세요!"
ㅣ_ㅓ,"'ㅓ'를 발음할 때는 입을 조금 덜 벌리고, 혀를 낮게 유지해 보세요!"
ㅣ_ㅗ,"'ㅗ'를 발음할 때는 'ㅣ'보다 입을 작게 벌리고 입술을 동그랗게 해보세요!"
ㅣ_ㅜ,"입을 약간 덜 벌리고 입술을 동그랗게 만들어 보세요!"
ㅣ_ㅡ,"'ㅣ'처럼 입을 옆으로 크게 벌리지 말고, 입을 조금만 열고 혀를 편안하게 해보세요!"
ㅣ_ㅑ,"'ㅑ'는 '이'와 '아'를 빠르게 이어서 발음해 보세요!"
ㅣ_ㅕ,"'ㅕ'를 발음할 때는 'ㅣ'보다 입을 덜 벌리고 '이어'를 빠르게 이어서 말해보세요!"
ㅣ_ㅛ,"'ㅛ'을 발음할 때 'ㅣ' 소리에 '오'를 부드럽게 이어서 말해 보세요!"
ㅣ_ㅠ,"'ㅠ'를 발음할 때 '이' 소리에 '우' 소리를 빠르게 이어서 말해 보세요!"
ㅣ_ㅒ,"'ㅒ'를 발음할 때 '이애'를 빠르게 이어서 말해 보세요! 입을 조금 다물고 혀를 약간 낮춰 주세요!"
ㅣ_ㅖ,"'ㅖ'는 'ㅣ' 다음에 '에'를 빠르게 이어서 발음해 보세요! 입을 좀 더 벌려 보세요!"
ㅣ_ㅘ,"'ㅘ'를 발음할 때 먼저 '우' 소리를 짧게 내고 자연스럽게 '아'로 이어 보세요!"
ㅣ_ㅝ,"'ㅝ'는 '우'와 '어'를 부드럽게 이어서 발음해 보세요! 'ㅣ'와 다르게 연결해 주세요!"
ㅣ_ㅙ,"'ㅙ'를 발음할 때는 먼저 짧게 '우' 소리를 내고 자연스럽게 '에'로 이어보세요!"
ㅣ_ㅞ,"'ㅣ'는 입을 옆으로 벌려 발음하고, 'ㅞ'는 '우'와 '에'를 이어서 발음해 보세요!"
ㅣ_ㅚ,"'ㅚ'를 발음할 때는 먼저 '우' 소리를 짧게 내고 바로 '에'로 이어서 말해 보세요!"
ㅣ_ㅟ,"'ㅟ'는 '우' 소리를 짧게 추가한 후 '이'를 이어서 발음해 보세요! 다시 시도해 보세요!"
