Ja,Instruction
ㄱ,혓바닥 뒷부분을 목구멍 쪽에 살짝 붙이세요. 혓바닥 뒷부분을 목구멍에서 떼면서 입안의 공기를 천천히 내보내세요.
ㄲ,혓바닥 뒷부분을 목구멍에 강하게 붙이세요. 목에 힘을 줘서 공기를 막으세요. 혓바닥 뒷부분을 목구멍에서 강하게 떼면서 소리를 내세요. 'ㄱ'보다 더 강한 소리입니다.
ㄴ,혀끝을 윗니 뒤쪽 잇몸에 살짝 붙이세요. 혀끝을 잇몸에서 살짝 떼면서 코로 공기를 내보내세요.
ㄷ,혀끝을 윗니 뒤쪽 잇몸에 붙이세요. 혀끝을 잇몸에서 떼면서 입안의 공기를 천천히 내보내세요.
ㄸ,혀끝을 윗니 뒤쪽 잇몸에 붙이세요. 목에 힘을 줘서 공기를 막으세요. 혀끝을 잇몸에서 강하게 떼면서 소리를 내세요. 'ㄷ'보다 더 강하게 소리를 냅니다.
ㄹ,혀끝을 윗니 뒤쪽에 가볍게 붙였다 떼면서 입안의 공기를 천천히 내보내세요.
ㅁ,두 입술을 붙이세요. 입술을 떼면서 코로 공기를 내보내세요.
ㅂ,두 입술을 가볍게 붙이세요. 입술을 떼면서 입안의 공기를 천천히 내보내세요.
ㅃ,두 입술을 강하게 붙이세요. 목에 힘을 줘서 공기를 막으세요. 입술을 강하게 떼면서 소리를 내세요. 'ㅂ'보다 강한 소리입니다.
ㅅ,혀끝을 윗니 뒤쪽에 붙이지 말고 가까이 대세요. 힘을 빼고 혀끝과 윗니 뒤쪽 사이로 공기를 천천히 내보내세요.
ㅆ,혀끝을 윗니 뒤쪽에 붙이지 말고 가까이 대세요. 목에 힘을 주세요. 혀끝과 윗니 뒤쪽 사이로 공기를 내보내면서 소리를 내세요. 'ㅅ'보다 강한 소리입니다.
ㅇ,목구멍을 막고 코로 공기를 내보내세요.
ㅈ,혀끝을 윗니 뒤쪽에 붙이세요. 혀끝과 윗니 뒤쪽을 조금만 떼면서 입안의 공기를 천천히 내보내세요.
ㅉ,혀끝을 윗니 뒤쪽에 붙이세요. 목에 힘을 줘서 공기를 막으세요. 혀끝과 윗니 뒤쪽을 조금만 떼면서 소리를 내세요. 'ㅈ'보다 강한 소리입니다.
ㅊ,혀끝을 입천장에 붙이세요. 혀끝과 입천장을 조금만 떼면서 입안의 공기를 세게 내보내세요. 
ㅋ,혀의 뒷부분을 목구멍 쪽에 붙이세요. 혀와 목구멍을 떼면서 입안의 공기를 세게 내보내세요. 'ㄱ'보다 더 강한 소리입니다.
ㅌ,혀끝을 윗니 뒤쪽 잇몸에 붙이세요. 혀끝을 윗니 뒤쪽 잇몸에서 떼면서 입안의 공기를 세게 내보내세요. 'ㄷ'보다 더 강한 소리를 냅니다.
ㅍ,두 입술을 붙이세요. 입술을 떼면서 입안의 공기를 세게 내보내세요. 'ㅂ'보다 더 세게 공기가 나갑니다. 
ㅎ,입의 안쪽에서부터 공기를 세게 내보내세요.
